file,match,date,stage,q_num,question_text,category,our_estimate,crowd_estimate,outcome,rbp,beat_crowd,final_score,match_rbp_total
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,1,,,0.28,0.45,1,-19.17,False,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,2,,,0.4,0.48,0,9.9,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,3,,,0.12,0.27,0,8.22,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,4,,,0.44,0.51,0,8.29,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,5,,,0.16,0.3,1,-19.91,False,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,6,,,0.52,0.44,1,10.46,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,7,,,0.65,0.54,0,-9.9,False,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,8,,,0.68,0.68,1,1.74,True,ARG 2-0 AUT,
arg_aut_2026-06-22.json,ARG-AUT,2026-06-22,,9,,,0.18,0.43,1,-31.86,False,ARG 2-0 AUT,
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,1,Will Egypt commit more fouls than Belgium?,tier2_realdata,0.46,0.59,0,15.47,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,2,Will there be 2 or more total cards shown in the second half?,tier1_market_blended,0.6,0.58,0,0.75,False,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,3,Will both teams score AND the match have 3 or more total goals?,tier1_market,0.38,0.41,0,5.79,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,4,Will Egypt have more shots on target than Belgium in the second half?,tier2_realdata,0.11,0.31,0,10.71,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,5,Will there be 4 or more total shots on target in the second half?,tier2_realdata,0.78,0.64,1,10.28,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,6,Will Belgium be caught offside 2 or more times?,tier2_realdata,0.54,0.5,0,-1.57,False,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,7,Will Belgium win the match?,match_winner_deferred_market,0.61,0.66,0,8.23,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,8,"At halftime, will the match be tied?",tier1_market,0.41,0.42,0,2.61,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,9,Will Youri Tielemans have at least 1 shot on target?,tier1_market,0.38,0.44,0,8.28,True,Belgium 1 - 1 Egypt,63.72
bel_egy_2026-06-15.json,BEL-EGY,2026-06-15,,10,Will Mahmoud Trezeguet score or assist a goal (excluding own goals)?,tier1_market,0.25,0.26,0,3.18,True,Belgium 1 - 1 Egypt,63.72
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,1,,,0.45,0.58,1,-10.51,False,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,2,,,0.44,0.56,0,14.44,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,3,,,0.37,0.38,0,2.9,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,4,,,0.72,0.66,1,5.6,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,5,,,0.61,0.63,1,0.65,True,BEL 0-0 IRN,9.63
bel_irn_2026-06-21.json,BEL-IRN,2026-06-21,,6,,,0.7,0.69,0,-0.25,False,BEL 0-0 IRN,9.63
