match_id,match_name,score,match_date,match_rbp,q_num,question_text,result,you_pct,crowd_pct,outcome_pct,rbp,performance,predicted,beat_crowd,brier_you,brier_crowd
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,1,Will Argentina have at least 1 corner kick in the first half?,YES,58,83,100,-12.21,Below crowd,True,0,0.1764,0.0289
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,2,Will Jordan be caught offside 2 or more times?,NO,32,38,0,6.33,Beat crowd,True,1,0.1024,0.1444
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,3,Will Jordan commit more fouls than Argentina?,YES,42,59,100,-14.82,Below crowd,True,0,0.3364,0.1681
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,4,Will Argentina have more shots on target than Jordan in the second half?,NO,52,73,0,29.11,Beat crowd,True,1,0.2704,0.5329
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,5,Will a penalty kick be awarded OR a red card be shown in the match?,YES,40,35,100,7.9,Beat crowd,True,1,0.36,0.4225
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,6,Will Jordan score at least 1 goal?,YES,38,37,100,4.18,Beat crowd,True,1,0.3844,0.3969
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,7,Will the match have 2 or fewer total goals?,NO,37,39,0,4.1,Beat crowd,True,1,0.1369,0.1521
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,8,Will Jordan score in the second half?,YES,23,27,100,-3.63,Below crowd,True,0,0.5929,0.5329
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,9,Will Mousa Al-Taamari score or assist a goal (excluding own goals)?,YES,16,21,100,-6.39,Below crowd,True,0,0.7056,0.6241
03995b66-4456-4acf-bc95-cf9f1645be0c,JOR vs ARG,1-3,Yesterday,+27.65,10,Will Argentina have 6 or more shots on target?,NO,50,59,0,13.09,Beat crowd,True,1,0.25,0.3481
c5b16a05-c823-48c9-ac79-8923c44df945,ALG vs AUT,3-3,Yesterday,+76.56,1,Will Algeria commit more fouls than Austria?,NO,18,48,0,21.5,Beat crowd,True,1,0.0324,0.2304
c5b16a05-c823-48c9-ac79-8923c44df945,ALG vs AUT,3-3,Yesterday,+76.56,2,Will Austria have more shots on target than Algeria in the second half?,NO,30,48,0,15.76,Beat crowd,True,1,0.09,0.2304
c5b16a05-c823-48c9-ac79-8923c44df945,ALG vs AUT,3-3,Yesterday,+76.56,3,Will Austria score the first goal of the second half?,YES,49,38,100,13.46,Beat crowd,True,1,0.2601,0.3844
