city,country,stadium,altitude_m,notes
Mexico City,Mexico,Estadio Azteca,2240,Highest WC2026 venue by far; well-documented physiological effect on visiting teams
Guadalajara,Mexico,Estadio Akron,1566,Second-highest WC2026 venue
Monterrey,Mexico,Estadio BBVA,538,Moderate altitude
Atlanta,USA,Mercedes-Benz Stadium,320,
Kansas City,USA,Arrowhead Stadium,310,
Toronto,Canada,BMO Field,76,
Dallas,USA,AT&T Stadium,170,Arlington TX
Vancouver,Canada,BC Place,1,Sea level
Seattle,USA,Lumen Field,10,
Los Angeles,USA,SoFi Stadium,28,Inglewood CA
San Francisco Bay Area,USA,Levi's Stadium,28,Santa Clara CA
Boston,USA,Gillette Stadium,49,Foxborough MA
New York/New Jersey,USA,MetLife Stadium,3,East Rutherford NJ
Philadelphia,USA,Lincoln Financial Field,12,
Houston,USA,NRG Stadium,15,
Miami,USA,Hard Rock Stadium,2,Miami Gardens FL
