match,stage,text,est,crowd,outcome,rbp,beat_crowd,hard_type
Spain_vs_Belgium,QF,Will Spain advance to the semifinals?,0.76,,YES,,,
Spain_vs_Belgium,QF,Will the match be tied at halftime?,0.4,,YES,,,
Spain_vs_Belgium,QF,Will Belgium hold a lead at any point in regulation?,0.32,,NO,,,path-dependent-lead
Spain_vs_Belgium,QF,Will either team make a substitution at halftime?,0.55,,NO,,,substitution-timing
Spain_vs_Belgium,QF,Will a goal be scored before the first hydration break?,0.46,,NO,,,hydration-window
Spain_vs_Belgium,QF,Will a goal be scored after the second hydration break but before end of regulation?,0.48,,YES,,,hydration-window
Spain_vs_Belgium,QF,Will both teams score in regulation?,0.43,,YES,,,
Spain_vs_Belgium,QF,Will Lamine Yamal score or assist a goal?,0.27,,NO,,,
Spain_vs_Belgium,QF,Will Kevin De Bruyne have 1+ shots on target?,0.45,,YES,,,
Spain_vs_Belgium,QF,Will Romelu Lukaku have 1+ shots on target?,0.46,,NO,,,
Spain_vs_Belgium,QF,Will Spain have 5+ shots on target?,0.6,,YES,,,
Spain_vs_Belgium,QF,Will Belgium have 3+ shots on target?,0.85,,NO,,,
Spain_vs_Belgium,QF,Will Spain have 6+ corner kicks?,0.62,,NO,,,
Spain_vs_Belgium,QF,Will there be 4+ total cards?,0.3,,YES,,,
Spain_vs_Belgium,QF,Will a penalty kick be awarded OR a red card be shown?,0.33,,NO,,,penalty-OR-red
Norway_vs_England,QF,Will Erling Haaland score a goal?,0.48,0.55,NO,22.38,True,
Norway_vs_England,QF,Will Harry Kane have 2+ SOT?,0.5,0.55,NO,18.68,True,
Norway_vs_England,QF,Will England win in regulation?,0.48,0.52,NO,12.98,True,
Norway_vs_England,QF,Will Jude Bellingham have 2+ SOT?,0.32,0.42,NO,22.27,True,
Norway_vs_England,QF,Will the match have 3+ total goals?,0.54,0.58,NO,14.09,True,
Norway_vs_England,QF,Will the match be tied at halftime?,0.43,0.44,YES,1.28,True,
Norway_vs_England,QF,Will both teams score?,0.58,0.63,YES,-3.68,False,
Norway_vs_England,QF,Will England have 6+ corner kicks?,0.51,0.51,NO,3.86,True,
Norway_vs_England,QF,Will Norway have 4+ corner kicks?,0.63,0.56,YES,15.24,True,
Norway_vs_England,QF,Will a substitute score or assist?,0.53,0.39,NO,-21.12,False,
Norway_vs_England,QF,Will a penalty be awarded OR a red card shown?,0.38,0.35,NO,-0.5,False,penalty-OR-red
Norway_vs_England,QF,Will at least one card be shown in each half?,0.48,0.51,NO,11.82,True,event-in-each-half
Norway_vs_England,QF,Will there be 24+ total shots?,0.68,0.56,NO,-23.83,False,
Norway_vs_England,QF,Will the second half produce more goals than the first half?,0.44,0.53,NO,21.71,True,half-comparison
Norway_vs_England,QF,Will England have more corners AND more shots than Norway?,0.55,0.53,NO,0.4,True,
Argentina_vs_Switzerland,QF,Will Argentina advance to the semifinals?,0.77,0.75,YES,5.65,True,
Argentina_vs_Switzerland,QF,Will the match be 0-0 at halftime?,0.35,0.37,NO,7.93,True,
Argentina_vs_Switzerland,QF,Will Switzerland hold a lead at any point?,0.32,0.33,NO,5.56,True,path-dependent-lead
Argentina_vs_Switzerland,QF,Will the match have 2 or fewer total goals?,0.58,0.52,YES,15.07,True,
Argentina_vs_Switzerland,QF,Will a goal be scored after the second hydration break?,0.47,0.51,NO,11.69,True,hydration-window
